Discount Rate,CAPEX ($/kW),Capacity Factor (%),Economic Life (Years),Capital Recovery Factor,Fixed O&M Cost Fraction,Variable O&M Cost ($/MWh),LCOE ($/MWh),Technology
0.0007000000000000001,2284.6078357263254,30,25,0.08581051722066561,0.0254,0,96.67900268550612,WON-357
0.0007000000000000001,2284.6078357263254,30,30,0.0805864035111112,0.0254,0,92.13750682722099,WON-357
0.0007000000000000001,2284.6078357263254,35,25,0.08581051722066561,0.0254,0,82.86771658757668,WON-357
0.0007000000000000001,2284.6078357263254,35,30,0.0805864035111112,0.0254,0,78.9750058519037,WON-357
0.0007000000000000001,2284.6078357263254,45,25,0.08581051722066561,0.0254,0,64.4526684570041,WON-357
0.0007000000000000001,2284.6078357263254,45,30,0.0805864035111112,0.0254,0,61.42500455148066,WON-357
0.0007000000000000001,1692.3039178631627,25,25,0.08581051722066561,0.0254,0,85.93698356169914,WON-357
0.0007000000000000001,1692.3039178631627,25,30,0.0805864035111112,0.0254,0,81.9000940192144,WON-357
0.0007000000000000001,1692.3039178631627,30,25,0.08581051722066561,0.0254,0,71.61415296808262,WON-357
0.0007000000000000001,1692.3039178631627,30,30,0.0805864035111112,0.0254,0,68.25007834934533,WON-357
0.0007000000000000001,1692.3039178631627,35,25,0.08581051722066561,0.0254,0,61.38355968692796,WON-357
0.0007000000000000001,1692.3039178631627,35,30,0.0805864035111112,0.0254,0,58.500067156581714,WON-357
0.0007000000000000001,1100.0,25,25,0.08581051722066561,0.0254,0,55.85916390079094,WON-357
0.0007000000000000001,1100.0,25,30,0.0805864035111112,0.0254,0,53.23517984576361,WON-357
0.0007000000000000001,1100.0,30,25,0.08581051722066561,0.0254,0,46.549303250659115,WON-357
0.0007000000000000001,1100.0,30,30,0.0805864035111112,0.0254,0,44.36264987146967,WON-357
0.0007000000000000001,1100.0,35,25,0.08581051722066561,0.0254,0,39.899402786279246,WON-357
0.0007000000000000001,1100.0,35,30,0.0805864035111112,0.0254,0,38.025128461259726,WON-357
0.0005,2284.6078357263254,30,25,0.07095245729922962,0.0254,0,83.76239685590036,WON-357
0.0005,2284.6078357263254,30,30,0.06505143508027658,0.0254,0,78.63244190909091,WON-357
0.0005,2284.6078357263254,35,25,0.07095245729922962,0.0254,0,71.79634016220032,WON-357
0.0005,2284.6078357263254,35,30,0.06505143508027658,0.0254,0,67.39923592207793,WON-357
0.0005,2284.6078357263254,45,25,0.07095245729922962,0.0254,0,55.84159790393358,WON-357
0.0005,2284.6078357263254,45,30,0.06505143508027658,0.0254,0,52.42162793939394,WON-357
0.0005,1692.3039178631627,25,25,0.07095245729922962,0.0254,0,74.45554382795862,WON-357
0.0005,1692.3039178631627,25,30,0.06505143508027658,0.0254,0,69.89557897840072,WON-357
0.0005,1692.3039178631627,30,25,0.07095245729922962,0.0254,0,62.04628652329884,WON-357
0.0005,1692.3039178631627,30,30,0.06505143508027658,0.0254,0,58.24631581533393,WON-357
0.0005,1692.3039178631627,35,25,0.07095245729922962,0.0254,0,53.182531305684726,WON-357
0.0005,1692.3039178631627,35,30,0.06505143508027658,0.0254,0,49.925413556000514,WON-357
0.0005,1100.0,25,25,0.07095245729922962,0.0254,0,48.3962114288368,WON-357
0.0005,1100.0,25,30,0.06505143508027658,0.0254,0,45.43222766589235,WON-357
0.0005,1100.0,30,25,0.07095245729922962,0.0254,0,40.33017619069733,WON-357
0.0005,1100.0,30,30,0.06505143508027658,0.0254,0,37.86018972157696,WON-357
0.0005,1100.0,35,25,0.07095245729922962,0.0254,0,34.568722449169144,WON-357
0.0005,1100.0,35,30,0.06505143508027658,0.0254,0,32.45159118992311,WON-357
0.0003,2284.6078357263254,30,25,0.05742787103912782,0.0254,0,72.00502404586034,WON-357
0.0003,2284.6078357263254,30,30,0.0510192593202526,0.0254,0,66.43380465884744,WON-357
