Discount Rate,CAPEX ($/kW),Capacity Factor (%),Economic Life (Years),Capital Recovery Factor,Fixed O&M Cost Fraction,Variable O&M Cost ($/MWh),LCOE ($/MWh),Technology,LCOE_Adjusted ($/MWh)
0.07,2284.6078357263254,30,25.0,0.08151999135963232,0.029209999999999996,0,96.67900268550612,Wind Onshore,252.9746059101243
0.07,2284.6078357263254,30,30.0,0.07655708333555564,0.029209999999999996,0,92.13750682722099,Wind Onshore,241.63630735032967
0.07,2284.6078357263254,35,25.0,0.08151999135963232,0.029209999999999996,0,82.86771658757668,Wind Onshore,252.9746059101243
0.07,2284.6078357263254,35,30.0,0.07655708333555564,0.029209999999999996,0,78.9750058519037,Wind Onshore,241.63630735032967
0.07,2284.6078357263254,45,25.0,0.08151999135963232,0.029209999999999996,0,64.4526684570041,Wind Onshore,252.9746059101243
0.07,2284.6078357263254,45,30.0,0.07655708333555564,0.029209999999999996,0,61.42500455148066,Wind Onshore,241.63630735032967
0.07,1692.3039178631627,25,25.0,0.08151999135963232,0.029209999999999996,0,85.93698356169914,Wind Onshore,187.38879820285993
0.07,1692.3039178631627,25,30.0,0.07655708333555564,0.029209999999999996,0,81.9000940192144,Wind Onshore,178.99004950972042
0.07,1692.3039178631627,30,25.0,0.08151999135963232,0.029209999999999996,0,71.61415296808262,Wind Onshore,187.38879820285993
0.07,1692.3039178631627,30,30.0,0.07655708333555564,0.029209999999999996,0,68.25007834934533,Wind Onshore,178.99004950972042
0.07,1692.3039178631627,35,25.0,0.08151999135963232,0.029209999999999996,0,61.38355968692796,Wind Onshore,187.38879820285993
0.07,1692.3039178631627,35,30.0,0.07655708333555564,0.029209999999999996,0,58.500067156581714,Wind Onshore,178.99004950972042
0.07,1100.0,25,25.0,0.08151999135963232,0.029209999999999996,0,55.85916390079094,Wind Onshore,121.80299049559554
0.07,1100.0,25,30.0,0.07655708333555564,0.029209999999999996,0,53.23517984576361,Wind Onshore,116.3437916691112
0.07,1100.0,30,25.0,0.08151999135963232,0.029209999999999996,0,46.549303250659115,Wind Onshore,121.80299049559554
0.07,1100.0,30,30.0,0.07655708333555564,0.029209999999999996,0,44.36264987146967,Wind Onshore,116.3437916691112
0.07,1100.0,35,25.0,0.08151999135963232,0.029209999999999996,0,39.899402786279246,Wind Onshore,121.80299049559554
0.07,1100.0,35,30.0,0.07655708333555564,0.029209999999999996,0,38.025128461259726,Wind Onshore,116.3437916691112
0.05,2284.6078357263254,30,25.0,0.06740483443426815,0.029209999999999996,0,83.76239685590036,Wind Onshore,220.7270077959306
0.05,2284.6078357263254,30,30.0,0.06179886332626275,0.029209999999999996,0,78.63244190909091,Wind Onshore,207.9195622757261
0.05,2284.6078357263254,35,25.0,0.06740483443426815,0.029209999999999996,0,71.79634016220032,Wind Onshore,220.7270077959306
0.05,2284.6078357263254,35,30.0,0.06179886332626275,0.029209999999999996,0,67.39923592207793,Wind Onshore,207.9195622757261
0.05,2284.6078357263254,45,25.0,0.06740483443426815,0.029209999999999996,0,55.84159790393358,Wind Onshore,220.7270077959306
0.05,2284.6078357263254,45,30.0,0.06179886332626275,0.029209999999999996,0,52.42162793939394,Wind Onshore,207.9195622757261
0.05,1692.3039178631627,25,25.0,0.06740483443426815,0.029209999999999996,0,74.45554382795862,Wind Onshore,163.50166283681278
0.05,1692.3039178631627,25,30.0,0.06179886332626275,0.029209999999999996,0,69.89557897840072,Wind Onshore,154.01465596730756
0.05,1692.3039178631627,30,25.0,0.06740483443426815,0.029209999999999996,0,62.04628652329884,Wind Onshore,163.50166283681278
0.05,1692.3039178631627,30,30.0,0.06179886332626275,0.029209999999999996,0,58.24631581533393,Wind Onshore,154.01465596730756
0.05,1692.3039178631627,35,25.0,0.06740483443426815,0.029209999999999996,0,53.182531305684726,Wind Onshore,163.50166283681278
0.05,1692.3039178631627,35,30.0,0.06179886332626275,0.029209999999999996,0,49.925413556000514,Wind Onshore,154.01465596730756
0.05,1100.0,25,25.0,0.06740483443426815,0.029209999999999996,0,48.3962114288368,Wind Onshore,106.27631787769496
0.05,1100.0,25,30.0,0.06179886332626275,0.029209999999999996,0,45.43222766589235,Wind Onshore,100.10974965888903
0.05,1100.0,30,25.0,0.06740483443426815,0.029209999999999996,0,40.33017619069733,Wind Onshore,106.27631787769496
0.05,1100.0,30,30.0,0.06179886332626275,0.029209999999999996,0,37.86018972157696,Wind Onshore,100.10974965888903
0.05,1100.0,35,25.0,0.06740483443426815,0.029209999999999996,0,34.568722449169144,Wind Onshore,106.27631787769496
0.05,1100.0,35,30.0,0.06179886332626275,0.029209999999999996,0,32.45159118992311,Wind Onshore,100.10974965888903
0.03,2284.6078357263254,30,25.0,0.05455647748717143,0.029209999999999996,0,72.00502404586034,Wind Onshore,191.3735508383847
0.03,2284.6078357263254,30,30.0,0.048468296354239965,0.029209999999999996,0,66.43380465884744,Wind Onshore,177.46444451676825
0.03,2284.6078357263254,35,25.0,0.05455647748717143,0.029209999999999996,0,61.71859203930887,Wind Onshore,191.3735508383847
0.03,2284.6078357263254,35,30.0,0.048468296354239965,0.029209999999999996,0,56.94326113615496,Wind Onshore,177.46444451676825
0.03,2284.6078357263254,45,25.0,0.05455647748717143,0.029209999999999996,0,48.00334936390689,Wind Onshore,191.3735508383847
0.03,2284.6078357263254,45,30.0,0.048468296354239965,0.029209999999999996,0,44.2892031058983,Wind Onshore,177.46444451676825
0.03,1692.3039178631627,25,25.0,0.05455647748717143,0.029209999999999996,0,64.00453455149808,Wind Onshore,141.7583380371366
0.03,1692.3039178631627,25,30.0,0.048468296354239965,0.029209999999999996,0,59.05233422276917,Wind Onshore,131.45528525321612
0.03,1692.3039178631627,30,25.0,0.05455647748717143,0.029209999999999996,0,53.33711212624839,Wind Onshore,141.7583380371366
0.03,1692.3039178631627,30,30.0,0.048468296354239965,0.029209999999999996,0,49.2102785189743,Wind Onshore,131.45528525321612
0.03,1692.3039178631627,35,25.0,0.05455647748717143,0.029209999999999996,0,45.717524679641485,Wind Onshore,141.7583380371366
0.03,1692.3039178631627,35,30.0,0.048468296354239965,0.029209999999999996,0,42.180238730549405,Wind Onshore,131.45528525321612
0.03,1100.0,25,25.0,0.05455647748717143,0.029209999999999996,0,41.60304024796374,Wind Onshore,92.14312523588856
0.03,1100.0,25,30.0,0.048468296354239965,0.029209999999999996,0,38.384102854921395,Wind Onshore,85.44612598966395
0.03,1100.0,30,25.0,0.05455647748717143,0.029209999999999996,0,34.669200206636454,Wind Onshore,92.14312523588856
0.03,1100.0,30,30.0,0.048468296354239965,0.029209999999999996,0,31.98675237910116,Wind Onshore,85.44612598966395
0.03,1100.0,35,25.0,0.05455647748717143,0.029209999999999996,0,29.716457319974104,Wind Onshore,92.14312523588856
0.03,1100.0,35,30.0,0.048468296354239965,0.029209999999999996,0,27.417216324943855,Wind Onshore,85.44612598966395
0.07,2284.6078357263254,30,25.0,0.08151999135963232,0.031395,0,98.33073590007236,Wind Onshore,257.96647403118635
0.07,2284.6078357263254,30,30.0,0.07655708333555564,0.031395,0,93.78924004178721,Wind Onshore,246.62817547139167
0.07,2284.6078357263254,35,25.0,0.08151999135963232,0.031395,0,84.28348791434775,Wind Onshore,257.96647403118635
0.07,2284.6078357263254,35,30.0,0.07655708333555564,0.031395,0,80.39077717867477,Wind Onshore,246.62817547139167
0.07,2284.6078357263254,45,25.0,0.08151999135963232,0.031395,0,65.55382393338158,Wind Onshore,257.96647403118635
0.07,2284.6078357263254,45,30.0,0.07655708333555564,0.031395,0,62.52616002785815,Wind Onshore,246.62817547139167
0.07,1692.3039178631627,25,25.0,0.08151999135963232,0.031395,0,87.40519244021058,Wind Onshore,191.08648226339096
0.07,1692.3039178631627,25,30.0,0.07655708333555564,0.031395,0,83.36830289772583,Wind Onshore,182.68773357025145
0.07,1692.3039178631627,30,25.0,0.08151999135963232,0.031395,0,72.83766036684214,Wind Onshore,191.08648226339096
0.07,1692.3039178631627,30,30.0,0.07655708333555564,0.031395,0,69.47358574810485,Wind Onshore,182.68773357025145
0.07,1692.3039178631627,35,25.0,0.08151999135963232,0.031395,0,62.43228031443613,Wind Onshore,191.08648226339096
0.07,1692.3039178631627,35,30.0,0.07655708333555564,0.031395,0,59.54878778408988,Wind Onshore,182.68773357025145
0.07,1100.0,25,25.0,0.08151999135963232,0.031395,0,56.81350180033433,Wind Onshore,124.20649049559555
0.07,1100.0,25,30.0,0.07655708333555564,0.031395,0,54.189517745307,Wind Onshore,118.7472916691112
0.07,1100.0,30,25.0,0.08151999135963232,0.031395,0,47.34458483361194,Wind Onshore,124.20649049559555
0.07,1100.0,30,30.0,0.07655708333555564,0.031395,0,45.157931454422496,Wind Onshore,118.7472916691112
0.07,1100.0,35,25.0,0.08151999135963232,0.031395,0,40.581072714524524,Wind Onshore,124.20649049559555
0.07,1100.0,35,30.0,0.07655708333555564,0.031395,0,38.706798389505,Wind Onshore,118.7472916691112
0.05,2284.6078357263254,30,25.0,0.06740483443426815,0.031395,0,85.4141300704666,Wind Onshore,225.7188759169926
